IEN,VaProductName,GenericName,DrugClassCode,DrugClassName,NationalDrugCode,Strength,DosageForm,Route,Unit
1015,HYDROCHLOROTHIAZIDE 25MG TAB,HYDROCHLOROTHIAZIDE,CV700,DIURETICS THIAZIDES,00591-5512-01,25,TABLET,ORAL,MG
1016,FUROSEMIDE 20MG TAB,FUROSEMIDE,CV702,DIURETICS LOOP,00054-8299-25,20,TABLET,ORAL,MG
1017,FUROSEMIDE 40MG TAB,FUROSEMIDE,CV702,DIURETICS LOOP,00054-8300-25,40,TABLET,ORAL,MG
1018,GABAPENTIN 300MG CAP,GABAPENTIN,CN103,ANTICONVULSANTS OTHER,00228-2636-11,300,CAPSULE,ORAL,MG
1019,GABAPENTIN 100MG CAP,GABAPENTIN,CN103,ANTICONVULSANTS OTHER,00228-2634-11,100,CAPSULE,ORAL,MG
1020,SERTRALINE HCL 50MG TAB,SERTRALINE,CN609,ANTIDEPRESSANTS SEROTONIN REUPTAKE INHIBITORS,00093-7198-56,50,TABLET,ORAL,MG
1021,SERTRALINE HCL 100MG TAB,SERTRALINE,CN609,ANTIDEPRESSANTS SEROTONIN REUPTAKE INHIBITORS,00093-7199-56,100,TABLET,ORAL,MG
1022,ACETAMINOPHEN 325MG TAB,ACETAMINOPHEN,CN103,ANALGESICS/ANTIPYRETICS,00591-0584-01,325,TABLET,ORAL,MG
1023,ACETAMINOPHEN 500MG TAB,ACETAMINOPHEN,CN103,ANALGESICS/ANTIPYRETICS,00591-0585-01,500,TABLET,ORAL,MG
1024,IBUPROFEN 400MG TAB,IBUPROFEN,MS101,NSAIDS,00591-3615-01,400,TABLET,ORAL,MG
1025,IBUPROFEN 800MG TAB,IBUPROFEN,MS101,NSAIDS,00591-3616-01,800,TABLET,ORAL,MG
1026,ASPIRIN 81MG TAB EC,ASPIRIN,CN103,ANALGESICS/ANTIPYRETICS,00536-1004-01,81,TABLET,ORAL,MG
1027,ASPIRIN 325MG TAB,ASPIRIN,CN103,ANALGESICS/ANTIPYRETICS,00536-1054-01,325,TABLET,ORAL,MG
1028,ALBUTEROL SULFATE 90MCG INH,ALBUTEROL,RE101,BETA-ADRENERGIC AGENTS INHALED,00173-0682-20,90,INHALER,INHALATION,MCG
1029,FLUTICASONE PROPIONATE 50MCG NASAL SPRAY,FLUTICASONE,RE301,NASAL CORTICOSTEROIDS,00173-0421-01,50,SPRAY,NASAL,MCG
1030,MONTELUKAST SODIUM 10MG TAB,MONTELUKAST,RE180,LEUKOTRIENE RECEPTOR ANTAGONISTS,00006-0117-31,10,TABLET,ORAL,MG
1031,TAMSULOSIN HCL 0.4MG CAP,TAMSULOSIN,GU900,ALPHA-ADRENERGIC BLOCKING AGENTS UROLOGICAL,00597-0143-01,0.4,CAPSULE,ORAL,MG
1032,FINASTERIDE 5MG TAB,FINASTERIDE,GU600,5-ALPHA REDUCTASE INHIBITORS,00093-7340-56,5,TABLET,ORAL,MG
1033,PANTOPRAZOLE SODIUM 40MG TAB DR,PANTOPRAZOLE,GA301,PROTON PUMP INHIBITORS,00008-0841-81,40,TABLET,ORAL,MG
1034,CLOPIDOGREL BISULFATE 75MG TAB,CLOPIDOGREL,BL110,ANTIPLATELET AGENTS,63629-4030-01,75,TABLET,ORAL,MG
1035,WARFARIN SODIUM 5MG TAB,WARFARIN,BL117,ANTICOAGULANTS COUMARIN,00056-0172-70,5,TABLET,ORAL,MG
1036,WARFARIN SODIUM 2MG TAB,WARFARIN,BL117,ANTICOAGULANTS COUMARIN,00056-0170-70,2,TABLET,ORAL,MG
1037,INSULIN GLARGINE 100 UNITS/ML INJ,INSULIN GLARGINE,HS501,INSULINS,00088-5024-01,100,INJECTION,SUBCUTANEOUS,UNITS/ML
1038,INSULIN LISPRO 100 UNITS/ML INJ,INSULIN LISPRO,HS501,INSULINS,00002-7510-01,100,INJECTION,SUBCUTANEOUS,UNITS/ML
1039,METOPROLOL TARTRATE 25MG TAB,METOPROLOL,CV100,BETA BLOCKERS/RELATED,00228-2736-11,25,TABLET,ORAL,MG
1040,METOPROLOL SUCCINATE 50MG TAB ER,METOPROLOL,CV100,BETA BLOCKERS/RELATED,00378-2050-01,50,TABLET,ORAL,MG
1041,CARVEDILOL 12.5MG TAB,CARVEDILOL,CV100,BETA BLOCKERS/RELATED,00007-4140-20,12.5,TABLET,ORAL,MG
1042,PREDNISONE 5MG TAB,PREDNISONE,HS051,GLUCOCORTICOIDS,00591-5442-01,5,TABLET,ORAL,MG
1043,PREDNISONE 20MG TAB,PREDNISONE,HS051,GLUCOCORTICOIDS,00591-5443-01,20,TABLET,ORAL,MG
1044,AMOXICILLIN 500MG CAP,AMOXICILLIN,AM111,PENICILLINS AMINOPENICILLINS,00093-4003-01,500,CAPSULE,ORAL,MG
1045,AZITHROMYCIN 250MG TAB,AZITHROMYCIN,AM200,MACROLIDES,00069-3060-30,250,TABLET,ORAL,MG
1046,CIPROFLOXACIN HCL 500MG TAB,CIPROFLOXACIN,AM250,FLUOROQUINOLONES,00093-0864-01,500,TABLET,ORAL,MG
1047,CEPHALEXIN 500MG CAP,CEPHALEXIN,AM120,CEPHALOSPORINS FIRST GENERATION,00093-3145-01,500,CAPSULE,ORAL,MG
1048,TRAZODONE HCL 50MG TAB,TRAZODONE,CN600,ANTIDEPRESSANTS OTHER,00093-0637-01,50,TABLET,ORAL,MG
1049,MIRTAZAPINE 15MG TAB,MIRTAZAPINE,CN609,ANTIDEPRESSANTS OTHER,00168-0102-30,15,TABLET,ORAL,MG
1050,DULOXETINE HCL 30MG CAP DR,DULOXETINE,CN609,ANTIDEPRESSANTS SEROTONIN NOREPINEPHRINE REUPTAKE INHIBITORS,00002-3235-30,30,CAPSULE,ORAL,MG
